product_id, product_name, brand_id, category_id, model_year, list_price
1,'Trek 820 - 2016',9,6,2016,379.9
2,'Ritchey Timberwolf Frameset - 2016',5,6,2016,749.9
3,'Surly Wednesday Frameset - 2016',8,6,2016,999.9
4,'Trek Fuel EX 8 29 - 2016',9,6,2016,2899.9
5,'Heller Shagamaw Frame - 2016',3,6,2016,1320.9
6,'Surly Ice Cream Truck Frameset - 2016',8,6,2016,469.9
7,'Trek Slash 8 27.5 - 2016',9,6,2016,3999.9
8,'Trek Remedy 29 Carbon Frameset - 2016',9,6,2016,1799.9
9,'Trek Conduit+ - 2016',9,5,2016,2999.9
10,'Surly Straggler - 2016',8,4,2016,154
11,'Surly Straggler 650b - 2016',8,4,2016,1680.9
12,'Electra Townie Original 21D - 2016',1,3,2016,549.9
13,'Electra Cruiser 1 (24-Inch) - 2016',1,3,2016,269.9
14,'Electra Girl''s Hawaii 1 (16-inch) - 2015/2016',1,3,2016,269.9
15,'Electra Moto 1 - 2016',1,3,2016,529.9
16,'Electra Townie Original 7D EQ - 2016',1,3,2016,599.9
17,'Pure Cycles Vine 8-Speed - 2016',4,3,2016,42
18,'Pure Cycles Western 3-Speed - Women''s - 2015/2016',4,3,2016,44
19,'Pure Cycles William 3-Speed - 2016',4,3,2016,44
20,'Electra Townie Original 7D EQ - Women''s - 2016',1,3,2016,599.9
21,'Electra Cruiser 1 (24-Inch) - 2016',1,1,2016,269.9
22,'Electra Girl''s Hawaii 1 (16-inch) - 2015/2016',1,1,2016,269.9
23,'Electra Girl''s Hawaii 1 (20-inch) - 2015/2016',1,1,2016,299.9
24,'Electra Townie Original 21D - 2016',1,2,2016,549.9
25,'Electra Townie Original 7D - 2015/2016',1,2,2016,499.9
26,'Electra Townie Original 7D EQ - 2016',1,2,2016,599.9
27,'Surly Big Dummy Frameset - 2017',8,6,2017,999.9
28,'Surly Karate Monkey 27.5+ Frameset - 2017',8,6,2017,2499.9
29,'Trek X-Caliber 8 - 2017',9,6,2017,999.9
30,'Surly Ice Cream Truck Frameset - 2017',8,6,2017,999.9
31,'Surly Wednesday - 2017',8,6,2017,1632.9
32,'Trek Farley Alloy Frameset - 2017',9,6,2017,469.9
33,'Surly Wednesday Frameset - 2017',8,6,2017,469.9
34,'Trek Session DH 27.5 Carbon Frameset - 2017',9,6,2017,469.9
35,'Sun Bicycles Spider 3i - 2017',7,6,2017,832.9
36,'Surly Troll Frameset - 2017',8,6,2017,832.9
37,'Haro Flightline One ST - 2017',2,6,2017,379.9
38,'Haro Flightline Two 26 Plus - 2017',2,6,2017,549.9
39,'Trek Stache 5 - 2017',9,6,2017,1499.9
40,'Trek Fuel EX 9.8 29 - 2017',9,6,2017,4999.9
41,'Haro Shift R3 - 2017',2,6,2017,1469.9
42,'Trek Fuel EX 5 27.5 Plus - 2017',9,6,2017,2299.9
43,'Trek Fuel EX 9.8 27.5 Plus - 2017',9,6,2017,5299.9
44,'Haro SR 1.1 - 2017',2,6,2017,539.9
45,'Haro SR 1.2 - 2017',2,6,2017,869.9
46,'Haro SR 1.3 - 2017',2,6,2017,1409.9
47,'Trek Remedy 9.8 - 2017',9,6,2017,5299.9
48,'Trek Emonda S 4 - 2017',9,7,2017,1499.9
49,'Trek Domane SL 6 - 2017',9,7,2017,3499.9
50,'Trek Silque SLR 7 Women''s - 2017',9,7,2017,5999.9
51,'Trek Silque SLR 8 Women''s - 2017',9,7,2017,6499.9
52,'Surly Steamroller - 2017',8,7,2017,875.9
53,'Surly Ogre Frameset - 2017',8,7,2017,749.9
54,'Trek Domane SL Disc Frameset - 2017',9,7,2017,3199.9
55,'Trek Domane S 6 - 2017',9,7,2017,2699.9
56,'Trek Domane SLR 6 Disc - 2017',9,7,2017,5499.9
57,'Trek Emonda S 5 - 2017',9,7,2017,1999.9
58,'Trek Madone 9.2 - 2017',9,7,2017,4999.9
59,'Trek Domane S 5 Disc - 2017',9,7,2017,2599.9
