order_id, customer_id, order_status, order_date, required_date, shipped_date, store_id,staff_id
1,259,4,'20160101','20160103','20160103',1,2
2,1212,4,'20160101','20160104','20160103',2,6
3,523,4,'20160102','20160105','20160103',2,7
4,175,4,'20160103','20160104','20160105',1,3
5,1324,4,'20160103','20160106','20160106',2,6
6,94,4,'20160104','20160107','20160105',2,6
7,324,4,'20160104','20160107','20160105',2,6
8,1204,4,'20160104','20160105','20160105',2,7
9,60,4,'20160105','20160108','20160108',1,2
10,442,4,'20160105','20160106','20160106',2,6
11,1326,4,'20160105','20160108','20160107',2,7
12,91,4,'20160106','20160108','20160109',1,2
13,873,4,'20160108','20160111','20160111',2,6
14,258,4,'20160109','20160111','20160112',1,3
15,450,4,'20160109','20160110','20160112',2,7
16,552,4,'20160112','20160115','20160115',1,3
17,1175,4,'20160112','20160114','20160114',1,3
18,541,4,'20160114','20160117','20160115',1,3
19,696,4,'20160114','20160117','20160116',1,2
20,923,4,'20160114','20160116','20160117',1,2
21,1250,4,'20160115','20160116','20160118',2,6
22,1035,4,'20160116','20160118','20160117',1,2
23,1149,4,'20160116','20160119','20160119',1,2
24,636,4,'20160118','20160120','20160119',2,7
25,657,4,'20160118','20160121','20160121',2,6
26,1280,4,'20160118','20160121','20160119',2,7
27,57,4,'20160119','20160121','20160120',2,7
28,252,4,'20160119','20160120','20160121',2,6
29,437,4,'20160120','20160122','20160121',2,6
30,1348,4,'20160120','20160121','20160121',2,6
31,1238,4,'20160120','20160122','20160122',3,8
32,1259,4,'20160121','20160124','20160122',1,3
33,236,4,'20160121','20160122','20160122',2,6
34,80,4,'20160122','20160125','20160123',2,6
35,813,4,'20160122','20160125','20160124',2,7
36,1321,4,'20160123','20160124','20160124',2,6
37,164,4,'20160125','20160128','20160126',2,6
38,583,4,'20160125','20160127','20160126',2,7
39,1296,4,'20160125','20160126','20160126',2,7
40,348,4,'20160127','20160128','20160129',1,3
41,979,4,'20160127','20160130','20160129',2,6
42,1095,4,'20160127','20160128','20160130',2,7
43,1434,4,'20160127','20160128','20160130',2,7
44,861,4,'20160128','20160131','20160130',2,7
45,1220,4,'20160128','20160131','20160131',2,7
46,746,4,'20160129','20160131','20160131',2,7
47,1234,4,'20160129','20160130','20160131',2,7
48,1012,4,'20160130','20160201','20160202',2,7
49,608,4,'20160131','20160201','20160202',2,6
50,872,4,'20160131','20160203','20160202',3,8
51,1047,4,'20160201','20160202','20160203',2,7
52,767,4,'20160203','20160204','20160205',1,2
53,965,4,'20160203','20160204','20160205',2,6
54,535,4,'20160204','20160207','20160207',2,7
55,1173,4,'20160204','20160207','20160206',2,6
56,1241,4,'20160204','20160206','20160207',2,6
57,1305,4,'20160204','20160206','20160206',2,7
58,504,4,'20160205','20160207','20160207',2,6
59,563,4,'20160205','20160207','20160206',2,7
60,151,4,'20160206','20160208','20160207',1,3
61,277,4,'20160206','20160209','20160209',2,7
62,208,4,'20160207','20160210','20160210',1,2
63,1075,4,'20160207','20160209','20160209',2,7
64,1185,4,'20160207','20160208','20160209',2,6
65,996,4,'20160208','20160209','20160211',2,6
66,1253,4,'20160209','20160212','20160212',2,7
67,526,4,'20160209','20160211','20160210',3,8
68,381,4,'20160210','20160211','20160213',2,6
69,1413,4,'20160210','20160212','20160211',2,7
70,50,3,'20160211','20160211',NULL,3,9
71,797,4,'20160211','20160214','20160212',2,7
72,1386,4,'20160212','20160215','20160213',1,2
73,612,4,'20160212','20160215','20160214',2,7
74,264,4,'20160213','20160215','20160215',2,7
75,587,4,'20160214','20160215','20160217',2,6
76,9,3,'20160216','20160216',NULL,2,6
77,385,4,'20160216','20160219','20160219',1,2
78,1182,4,'20160216','20160218','20160219',2,7
79,529,4,'20160217','20160220','20160220',1,3
80,397,4,'20160217','20160220','20160219',2,6
81,521,4,'20160217','20160219','20160218',2,6
82,1223,4,'20160218','20160221','20160220',2,6
83,393,4,'20160219','20160220','20160220',1,3
84,317,4,'20160220','20160222','20160221',2,7
85,1174,4,'20160220','20160223','20160221',2,7
86,276,4,'20160221','20160222','20160223',2,7
87,516,4,'20160221','20160222','20160223',2,6
88,1069,4,'20160221','20160222','20160223',2,6
89,668,4,'20160221','20160224','20160224',3,8
90,414,4,'20160223','20160225','20160224',2,7
91,648,4,'20160225','20160227','20160228',1,2
92,1309,4,'20160225','20160228','20160228',2,7
93,1328,4,'20160226','20160228','20160227',1,3
94,929,4,'20160227','20160228','20160229',1,2
95,218,4,'20160227','20160229','20160228',2,7
96,1094,4,'20160227','20160229','20160228',2,7
97,204,4,'20160228','20160229','20160301',2,7
98,1194,4,'20160228','20160229','20160229',2,6
99,1165,4,'20160229','20160301','20160303',3,9
100,1237,4,'20160301','20160304','20160303',2,7
101,271,4,'20160301','20160304','20160304',3,8
102,336,4,'20160302','20160305','20160303',2,7
103,991,4,'20160303','20160306','20160305',1,2
104,7,4,'20160303','20160305','20160305',2,7
105,306,4,'20160303','20160305','20160304',2,7
106,422,4,'20160304','20160305','20160305',3,9
107,633,4,'20160306','20160309','20160309',1,2
108,12,4,'20160306','20160309','20160307',2,6
109,1255,4,'20160306','20160309','20160309',2,6
110,677,4,'20160306','20160308','20160309',3,9
111,630,4,'20160307','20160310','20160310',2,6
112,469,4,'20160308','20160311','20160310',2,6
113,1078,4,'20160308','20160311','20160311',2,6
114,1431,4,'20160308','20160310','20160311',2,7
115,1369,4,'20160309','20160311','20160311',2,7
116,471,4,'20160310','20160311','20160311',2,7
117,740,4,'20160310','20160313','20160311',2,6
118,577,4,'20160312','20160314','20160313',1,2
119,925,4,'20160312','20160314','20160314',2,7
120,327,4,'20160314','20160315','20160317',2,7
121,755,4,'20160314','20160315','20160316',2,6
122,786,4,'20160314','20160316','20160315',2,6
123,766,4,'20160315','20160318','20160317',2,6
124,403,4,'20160316','20160318','20160317',1,3
125,685,4,'20160316','20160319','20160317',2,6
126,1365,4,'20160316','20160318','20160318',2,7
127,484,4,'20160317','20160318','20160319',3,8
128,86,4,'20160318','20160320','20160321',2,6
129,84,4,'20160319','20160321','20160321',2,7
130,1049,4,'20160319','20160322','20160320',2,6
131,316,4,'20160319','20160322','20160320',3,8
132,46,4,'20160320','20160322','20160323',1,3
133,409,4,'20160320','20160322','20160321',2,7
134,679,4,'20160320','20160321','20160321',2,7
135,1354,4,'20160321','20160323','20160323',2,7
136,1192,4,'20160321','20160324','20160323',3,8
137,370,4,'20160323','20160326','20160325',2,7
138,438,4,'20160323','20160324','20160325',2,7
139,710,4,'20160323','20160324','20160326',2,7
140,1264,4,'20160323','20160326','20160326',2,7
141,557,4,'20160325','20160327','20160326',2,7
142,170,4,'20160326','20160327','20160327',1,3
143,693,4,'20160326','20160328','20160328',2,7
144,1124,4,'20160326','20160329','20160329',2,7
145,366,4,'20160327','20160329','20160330',2,6
146,288,4,'20160328','20160330','20160330',1,3
147,55,4,'20160328','20160331','20160331',2,7
148,714,4,'20160328','20160330','20160330',2,6
149,763,4,'20160328','20160330','20160329',2,6
150,332,4,'20160329','20160331','20160401',1,2
151,926,4,'20160329','20160401','20160331',1,2
